,,食品名,水分,水溶性食物繊維,不溶性食物繊維,食物繊維総量,低分子量水溶性食物繊維,高分子量水溶性食物繊維,不溶性食物繊維,難消化性でん粉,食物繊維総量,備考
,,成分識別子,WATER,FIBSOL,FIBINS,FIBTG,FIB-SDFS,FIB-SDFP,FIB-IDF,STARES,FIB-TDF,
,,単位,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,
02012,228,＜いも類＞ （さといも類） さといも 球茎 冷凍,80.9,0.8,1.2,2.0,-,-,-,-,-,
02050,229,＜いも類＞ （さといも類） セレベス 球茎 生,76.4,0.7,1.6,2.3,-,-,-,-,-,
02051,230,＜いも類＞ （さといも類） セレベス 球茎 水煮,77.5,0.7,1.5,2.2,-,-,-,-,-,
02052,231,＜いも類＞ （さといも類） たけのこいも 球茎 生,73.4,0.6,2.2,2.8,-,-,-,-,-,
02053,232,＜いも類＞ （さといも類） たけのこいも 球茎 水煮,75.4,0.8,1.7,2.4,-,-,-,-,-,
02013,233,＜いも類＞ （さといも類） みずいも 球茎 生,70.5,0.6,1.6,2.2,-,-,-,-,-,
02014,234,＜いも類＞ （さといも類） みずいも 球茎 水煮,72.0,0.7,1.8,2.5,-,-,-,-,-,
02015,235,＜いも類＞ （さといも類） やつがしら 球茎 生,74.5,0.5,2.3,2.8,-,-,-,-,-,
02016,236,＜いも類＞ （さといも類） やつがしら 球茎 水煮,75.6,0.9,1.9,2.8,-,-,-,-,-,
02063,237,＜いも類＞ じゃがいも 塊茎 皮つき 生,81.1,-,-,-,1.3,4.1,4.4,0.1,9.8,
02064,238,＜いも類＞ じゃがいも 塊茎 皮つき 電子レンジ調理,77.6,-,-,-,0.6,0.8,2.4,0.5,3.9,
02065,239,＜いも類＞ じゃがいも 塊茎 皮つき フライドポテト （生を揚げたもの）,65.2,-,-,-,0.7,1.1,2.6,0.7,4.3,
02017,240,＜いも類＞ じゃがいも 塊茎 皮なし 生,79.8,0.4,0.8,1.2,1.3,3.6,4.0,0.1,8.9,
02019,241,＜いも類＞ じゃがいも 塊茎 皮なし 水煮,80.6,0.5,1.1,1.6,0.5,0.9,1.7,0.5,3.1,
02018,242,＜いも類＞ じゃがいも 塊茎 皮なし 蒸し,78.8,0.5,1.1,1.7,0.4,0.9,2.2,0.4,3.5,
02066,243,＜いも類＞ じゃがいも 塊茎 皮なし 電子レンジ調理,78.0,0.5,1.1,1.7,0.6,0.7,2.2,0.5,3.5,
02067,244,＜いも類＞ じゃがいも 塊茎 皮なし フライドポテト （生を揚げたもの）,64.2,-,-,-,0.6,1.1,2.3,0.7,3.9,
02020,245,＜いも類＞ じゃがいも 塊茎 皮なし フライドポテト （市販冷凍食品を揚げたもの）,52.9,1.0,2.1,3.1,-,-,-,-,-,
02021,246,＜いも類＞ じゃがいも 乾燥マッシュポテト,7.5,2.5,4.1,6.6,-,-,-,-,-,
02054,247,＜いも類＞ ヤーコン 塊根 生,86.3,0.3,0.8,1.1,-,-,-,-,-,
02055,248,＜いも類＞ ヤーコン 塊根 水煮,88.8,0.3,0.9,1.2,-,-,-,-,-,
02022,249,＜いも類＞ （やまのいも類） ながいも いちょういも 塊根 生,71.1,0.6,0.8,1.4,-,-,-,-,-,
02023,250,＜いも類＞ （やまのいも類） ながいも ながいも 塊根 生,82.6,0.2,0.8,1.0,-,-,-,-,-,
02024,251,＜いも類＞ （やまのいも類） ながいも ながいも 塊根 水煮,84.2,0.2,1.2,1.4,-,-,-,-,-,
02025,252,＜いも類＞ （やまのいも類） ながいも やまといも 塊根 生,66.7,0.7,1.8,2.5,-,-,-,-,-,
02026,253,＜いも類＞ （やまのいも類） じねんじょ 塊根 生,68.8,0.6,1.4,2.0,-,-,-,-,-,
02027,254,＜いも類＞ （やまのいも類） だいじょ 塊根 生,71.2,0.5,1.7,2.2,-,-,-,-,-,
02070,255,＜でん粉・でん粉製品＞ （でん粉類） おおうばゆりでん粉,16.2,-,-,-,0.5,0.3,Tr,1.6,0.8,
02036,264,＜でん粉・でん粉製品＞ （でん粉製品） くずきり 乾,11.8,0,0.9,0.9,-,-,-,-,-,
02037,265,＜でん粉・でん粉製品＞ （でん粉製品） くずきり ゆで,66.5,0,0.8,0.8,-,-,-,-,-,
02056,266,＜でん粉・でん粉製品＞ （でん粉製品） ごま豆腐,84.8,Tr,1.0,1.0,-,-,-,-,-,
02038,267,＜でん粉・でん粉製品＞ （でん粉製品） タピオカパール 乾,11.9,0.2,0.2,0.5,-,-,-,-,-,
02057,268,＜でん粉・でん粉製品＞ （でん粉製品） タピオカパール ゆで,84.6,0,0.2,0.2,-,-,-,-,-,
02058,269,＜でん粉・でん粉製品＞ （でん粉製品） でん粉めん 生,67.4,0.2,0.6,0.8,-,-,-,-,-,
02059,270,＜でん粉・でん粉製品＞ （でん粉製品） でん粉めん 乾,12.6,0.5,1.2,1.8,-,-,-,-,-,
02060,271,＜でん粉・でん粉製品＞ （でん粉製品） でん粉めん 乾 ゆで,79.2,Tr,0.6,0.6,-,-,-,-,-,
02039,272,＜でん粉・でん粉製品＞ （でん粉製品） はるさめ 緑豆はるさめ 乾,11.8,Tr,4.1,4.1,-,-,-,-,-,
02061,273,＜でん粉・でん粉製品＞ （でん粉製品） はるさめ 緑豆はるさめ ゆで,79.3,Tr,1.5,1.5,-,-,-,-,-,
02040,274,＜でん粉・でん粉製品＞ （でん粉製品） はるさめ 普通はるさめ 乾,12.9,0.3,0.9,1.2,-,-,-,-,-,
02062,275,＜でん粉・でん粉製品＞ （でん粉製品） はるさめ 普通はるさめ ゆで,80.0,Tr,0.7,0.8,-,-,-,-,-,
03030,277,（砂糖類） てんさい含蜜糖,2.0,-,-,-,8.3,Tr,-,-,8.3,"ラフィノース： 4.7 g
1-ケストース： 0.6 g"
03031,291,（でん粉糖類） 還元麦芽糖,0,-,-,-,0.3,0,0,Tr,0.3,
03032,292,（でん粉糖類） 還元水あめ,30.1,-,-,-,14.0†,Tr†,0,Tr†,14.0†,"マルトトリイトール： 8.2 g
†は規定法による測定値"
03029,303,（その他） 黒蜜,46.5,0,0,0,-,-,-,-,-,
04001,306,あずき 全粒 乾,14.2,1.0,14.2,15.3,5.3,2.4,17.1,0.6,24.8,
04002,307,あずき 全粒 ゆで,63.9,0.8,11.3,12.1,1.7,0.8,6.2,1.1,8.7,
04003,308,あずき ゆで小豆缶詰,45.3,0.5,2.9,3.4,-,-,-,-,-,
04004,309,あずき あん こし生あん,62.0,0.3,6.5,6.8,-,-,-,-,-,
04005,310,あずき あん さらしあん （乾燥あん）,7.8,1.0,25.8,26.8,-,-,-,-,-,
04101,311,あずき あん こし練りあん （並あん）,35.0,0.2,3.7,3.9,-,-,-,-,-,原材料配合割合から推計
04102,312,あずき あん こし練りあん （中割りあん）,33.2,0.2,3.4,3.5,-,-,-,-,-,原材料配合割合から推計
04103,313,あずき あん こし練りあん （もなかあん）,25.7,0.2,3.4,3.5,-,-,-,-,-,原材料配合割合から推計
04006,314,あずき あん つぶし練りあん,39.3,0.5,5.2,5.7,-,-,-,-,-,
04007,315,いんげんまめ 全粒 乾,15.3,3.3,16.2,19.6,-,-,-,-,-,
04008,316,いんげんまめ 全粒 ゆで,63.6,1.5,12.0,13.6,-,-,-,-,-,
04009,317,いんげんまめ うずら豆,41.4,1.3,4.6,5.9,-,-,-,-,-,
04010,318,いんげんまめ こし生あん,62.3,0.5,8.0,8.5,-,-,-,-,-,
04011,319,いんげんまめ 豆きんとん,37.8,4.3,0.5,4.8,-,-,-,-,-,
04012,320,えんどう 全粒 青えんどう 乾,13.4,1.2,16.2,17.4,-,-,-,-,-,
04013,321,えんどう 全粒 青えんどう ゆで,63.8,0.5,7.2,7.7,-,-,-,-,-,
04074,322,えんどう 全粒 赤えんどう 乾,13.4,1.2,16.2,17.4,-,-,-,-,-,
04075,323,えんどう 全粒 赤えんどう ゆで,63.8,0.5,7.2,7.7,-,-,-,-,-,
04014,324,えんどう グリンピース（揚げ豆）,5.6,0.9,18.7,19.6,-,-,-,-,-,
04015,325,えんどう 塩豆,6.3,1.1,16.8,17.9,-,-,-,-,-,
04016,326,えんどう うぐいす豆,39.7,0.7,4.6,5.3,-,-,-,-,-,
04017,327,ささげ 全粒 乾,15.5,1.3,17.1,18.4,-,-,-,-,-,
04018,328,ささげ 全粒 ゆで,63.9,0.8,9.9,10.7,-,-,-,-,-,
04019,329,そらまめ 全粒 乾,13.3,1.3,8.0,9.3,-,-,-,-,-,
04020,330,そらまめ フライビーンズ,4.0,0.9,14.0,14.9,-,-,-,-,-,
04021,331,そらまめ おたふく豆,37.2,1.4,4.5,5.9,-,-,-,-,-,
04022,332,そらまめ ふき豆,34.5,0.8,3.7,4.5,-,-,-,-,-,
04076,333,そらまめ しょうゆ豆,50.2,0.8,9.3,10.1,-,-,-,-,-,
04104,334,だいず ［全粒・全粒製品］ 全粒 青大豆 国産 乾,12.5,-,-,-,4.0,1.1,15.0,Tr,20.1,
04105,335,だいず ［全粒・全粒製品］ 全粒 青大豆 国産 ゆで,65.5,-,-,-,0.9,0.6,6.4,0,8.0,
04023,336,だいず ［全粒・全粒製品］ 全粒 黄大豆 国産 乾,12.4,1.5,16.4,17.9,4.6,1.5,15.4,-,21.5,
04024,337,だいず ［全粒・全粒製品］ 全粒 黄大豆 国産 ゆで,65.4,0.9,5.8,6.6,1.3,0.9,6.4,-,8.5,
04025,338,だいず ［全粒・全粒製品］ 全粒 黄大豆 米国産 乾,11.7,0.9,15.0,15.9,-,-,-,-,-,
04026,339,だいず ［全粒・全粒製品］ 全粒 黄大豆 中国産 乾,12.5,0.9,14.7,15.6,-,-,-,-,-,
04027,340,だいず ［全粒・全粒製品］ 全粒 黄大豆 ブラジル産 乾,8.3,1.0,16.3,17.3,-,-,-,-,-,
04077,341,だいず ［全粒・全粒製品］ 全粒 黒大豆 国産 乾,12.7,1.4,14.6,16.0,4.4,1.4,14.8,0.1,20.6,
04106,342,だいず ［全粒・全粒製品］ 全粒 黒大豆 国産 ゆで,65.1,-,-,-,1.0,0.8,6.2,Tr,7.9,
04080,343,だいず ［全粒・全粒製品］ いり大豆 青大豆,2.7,2.2,16.2,18.4,-,-,-,-,-,
04078,344,だいず ［全粒・全粒製品］ いり大豆 黄大豆,2.5,2.4,17.1,19.4,-,-,-,-,-,
04079,345,だいず ［全粒・全粒製品］ いり大豆 黒大豆,2.4,2.4,16.9,19.2,-,-,-,-,-,
04028,346,だいず ［全粒・全粒製品］ 水煮缶詰 黄大豆,71.7,0.4,6.4,6.8,-,-,-,-,-,
04081,347,だいず ［全粒・全粒製品］ 蒸し大豆 黄大豆,57.4,2.3,6.5,8.8,2.3,1.9,6.5,-,10.6,
04082,348,だいず ［全粒・全粒製品］ きな粉 青大豆 全粒大豆,5.9,1.9,15.0,16.9,-,-,-,-,-,
04096,349,だいず ［全粒・全粒製品］ きな粉 青大豆 脱皮大豆,5.2,-,-,-,5.5,2.1,13.1,-,20.8,別名：青大豆きな粉、うぐいす色きな粉あるいはうぐいすきな粉
04029,350,だいず ［全粒・全粒製品］ きな粉 黄大豆 全粒大豆,4.0,2.7,15.4,18.1,-,-,-,-,-,
04030,351,だいず ［全粒・全粒製品］ きな粉 黄大豆 脱皮大豆,2.6,2.4,12.9,15.3,-,-,-,-,-,
04109,352,だいず ［全粒・全粒製品］ きな粉（砂糖入り） 青きな粉,3.3,1.0,7.5,8.4,-,-,-,-,-,原材料配合割合から推計
04110,353,だいず ［全粒・全粒製品］ きな粉（砂糖入り） きな粉,2.3,1.3,7.7,9.0,-,-,-,-,-,原材料配合割合から推計
04083,354,だいず ［全粒・全粒製品］ 大豆はいが,3.9,2.8,16.0,18.8,-,-,-,-,-,
04031,355,だいず ［全粒・全粒製品］ ぶどう豆,36.0,1.3,5.0,6.3,-,-,-,-,-,
04032,356,だいず ［豆腐・油揚げ類］ 木綿豆腐,85.9,0.1,0.3,0.4,0.5,0.2,0.3,0,1.1,
04097,357,だいず ［豆腐・油揚げ類］ 木綿豆腐 （凝固剤：塩化マグネシウム）,85.9,0.1,0.3,0.4,0.5,0.2,0.3,0,1.1,
04098,358,だいず ［豆腐・油揚げ類］ 木綿豆腐 （凝固剤：硫酸カルシウム）,85.9,0.1,0.3,0.4,0.5,0.2,0.3,0,1.1,
04033,359,だいず ［豆腐・油揚げ類］ 絹ごし豆腐,88.5,0.1,0.3,0.3,0.6,0.1,0.3,0,0.9,
04099,360,だいず ［豆腐・油揚げ類］ 絹ごし豆腐 （凝固剤：塩化マグネシウム）,88.5,0.1,0.3,0.3,0.6,0.1,0.3,0,0.9,
04100,361,だいず ［豆腐・油揚げ類］ 絹ごし豆腐 （凝固剤：硫酸カルシウム）,88.5,0.1,0.3,0.3,0.6,0.1,0.3,0,0.9,
04034,362,だいず ［豆腐・油揚げ類］ ソフト豆腐,88.9,0.2,0.2,0.4,-,-,-,-,-,
04035,363,だいず ［豆腐・油揚げ類］ 充てん豆腐,88.6,0.2,0.1,0.3,-,-,-,-,-,
04036,364,だいず ［豆腐・油揚げ類］ 沖縄豆腐,81.8,0.2,0.3,0.5,-,-,-,-,-,
04037,365,だいず ［豆腐・油揚げ類］ ゆし豆腐,90.0,0.2,0.1,0.3,-,-,-,-,-,
04038,366,だいず ［豆腐・油揚げ類］ 焼き豆腐,84.8,0.1,0.4,0.5,-,-,-,-,-,
04039,367,だいず ［豆腐・油揚げ類］ 生揚げ,75.9,0.2,0.5,0.7,-,-,-,-,-,
04040,368,だいず ［豆腐・油揚げ類］ 油揚げ 生,39.9,0.5,0.8,1.3,-,-,-,-,-,
04084,369,だいず ［豆腐・油揚げ類］ 油揚げ 油抜き 生,56.9,0.4,0.5,0.9,-,-,-,-,-,
04086,370,だいず ［豆腐・油揚げ類］ 油揚げ 油抜き ゆで,72.6,0.2,0.4,0.6,-,-,-,-,-,
04085,371,だいず ［豆腐・油揚げ類］ 油揚げ 油抜き 焼き,40.2,0.5,0.7,1.2,-,-,-,-,-,
04095,372,だいず ［豆腐・油揚げ類］ 油揚げ 甘煮,54.9,0.2,0.4,0.5,-,-,-,-,-,
04041,373,だいず ［豆腐・油揚げ類］ がんもどき,63.5,0.6,0.8,1.4,-,-,-,-,-,
04042,374,だいず ［豆腐・油揚げ類］ 凍り豆腐 乾,7.2,0.5,1.9,2.5,-,-,-,-,-,
04087,375,だいず ［豆腐・油揚げ類］ 凍り豆腐 水煮,79.6,0.2,0.4,0.5,-,-,-,-,-,
04043,376,だいず ［豆腐・油揚げ類］ 豆腐よう,60.6,0.3,0.5,0.8,-,-,-,-,-,
04044,377,だいず ［豆腐・油揚げ類］ 豆腐竹輪 蒸し,71.6,0.2,0.6,0.8,-,-,-,-,-,
04045,378,だいず ［豆腐・油揚げ類］ 豆腐竹輪 焼き,68.8,0.2,0.5,0.7,-,-,-,-,-,
04088,379,だいず ［豆腐・油揚げ類］ ろくじょう豆腐,26.5,0.9,2.3,3.2,-,-,-,-,-,
04046,380,だいず ［納豆類］ 糸引き納豆,59.5,2.3,4.4,6.7,-,-,-,-,-,
04047,381,だいず ［納豆類］ 挽きわり納豆,60.9,2.0,3.9,5.9,-,-,-,-,-,
04048,382,だいず ［納豆類］ 五斗納豆,45.8,2.0,2.9,4.9,-,-,-,-,-,
04049,383,だいず ［納豆類］ 寺納豆,24.4,1.6,6.0,7.6,-,-,-,-,-,
04051,384,だいず ［その他］ おから 生,75.5,0.4,11.1,11.5,-,-,-,-,-,
04089,385,だいず ［その他］ おから 乾燥,7.1,1.5,42.1,43.6,-,-,-,-,-,
04052,386,だいず ［その他］ 豆乳 豆乳,90.8,0.2,0,0.2,-,-,-,-,-,
04053,387,だいず ［その他］ 豆乳 調製豆乳,87.9,0.2,0.1,0.3,-,-,-,-,-,
04054,388,だいず ［その他］ 豆乳 豆乳飲料・麦芽コーヒー,87.4,0.1,0,0.1,-,-,-,-,-,
04055,389,だいず ［その他］ 大豆たんぱく 粒状大豆たんぱく,7.8,5.9,11.9,17.8,-,-,-,-,-,
04056,390,だいず ［その他］ 大豆たんぱく 濃縮大豆たんぱく,6.8,1.4,19.5,20.9,-,-,-,-,-,
04057,391,だいず ［その他］ 大豆たんぱく 分離大豆たんぱく 塩分無調整タイプ,5.9,0,4.2,4.2,-,-,-,-,-,
04090,392,だいず ［その他］ 大豆たんぱく 分離大豆たんぱく 塩分調整タイプ,5.9,0,4.2,4.2,-,-,-,-,-,
04058,393,だいず ［その他］ 大豆たんぱく 繊維状大豆たんぱく,5.8,0.5,5.1,5.6,-,-,-,-,-,
04059,394,だいず ［その他］ 湯葉 生,59.1,0.2,0.6,0.8,-,-,-,-,-,
04060,395,だいず ［その他］ 湯葉 干し 乾,6.9,0.6,2.4,3.0,-,-,-,-,-,
04091,396,だいず ［その他］ 湯葉 干し 湯戻し,72.8,0.3,0.9,1.2,-,-,-,-,-,
04061,397,だいず ［その他］ 金山寺みそ,34.3,0.2,3.0,3.2,-,-,-,-,-,
04062,398,だいず ［その他］ ひしおみそ,46.3,0.9,1.9,2.8,-,-,-,-,-,
04063,399,だいず ［その他］ テンペ,57.8,2.1,8.1,10.2,-,-,-,-,-,
04064,400,つるあずき 全粒 乾,12.0,1.3,20.7,22.0,-,-,-,-,-,
04092,401,つるあずき 全粒 ゆで,60.5,0.6,12.8,13.4,-,-,-,-,-,
04065,402,ひよこまめ 全粒 乾,10.4,1.2,15.1,16.3,-,-,-,-,-,
04066,403,ひよこまめ 全粒 ゆで,59.6,0.5,11.1,11.6,-,-,-,-,-,
04067,404,ひよこまめ 全粒 フライ 味付け,4.6,1.1,19.9,21.0,-,-,-,-,-,
04068,405,べにばないんげん 全粒 乾,15.4,1.2,25.5,26.7,-,-,-,-,-,
04069,406,べにばないんげん 全粒 ゆで,69.7,0.7,6.9,7.6,-,-,-,-,-,
04070,408,らいまめ 全粒 乾,11.7,1.4,18.3,19.6,-,-,-,-,-,
04093,409,らいまめ 全粒 ゆで,62.3,0.8,10.2,10.9,-,-,-,-,-,
04071,410,りょくとう 全粒 乾,10.8,0.6,14.0,14.6,-,-,-,-,-,
04072,411,りょくとう 全粒 ゆで,66.0,0.4,4.8,5.2,-,-,-,-,-,
04073,412,レンズまめ 全粒 乾,12.0,1.0,15.7,16.7,-,-,-,-,-,
04094,413,レンズまめ 全粒 ゆで,57.9,0.9,8.5,9.4,-,-,-,-,-,
05001,414,アーモンド 乾,4.7,0.8,9.3,10.1,-,-,-,-,-,
05002,415,アーモンド フライ 味付け,1.8,1.1,9.0,10.1,-,-,-,-,-,
05040,416,アーモンド いり 無塩,1.8,1.1,10.0,11.0,-,-,-,-,-,
05003,417,あさ 乾,4.6,1.2,21.8,23.0,-,-,-,-,-,
05041,418,あまに いり,0.8,9.1,14.7,23.8,-,-,-,-,-,
05004,419,えごま 乾,5.6,1.7,19.1,20.8,-,-,-,-,-,
05005,420,カシューナッツ フライ 味付け,3.2,0.8,5.9,6.7,-,-,-,-,-,
05006,421,かぼちゃ いり 味付け,4.5,1.8,5.5,7.3,-,-,-,-,-,
05007,422,かや いり,1.2,2.5,15.7,18.2,-,-,-,-,-,
05008,423,ぎんなん 生,57.4,0.2,1.4,1.6,-,-,-,-,-,
05009,424,ぎんなん ゆで,56.9,0.2,2.2,2.4,-,-,-,-,-,
05010,425,（くり類） 日本ぐり 生,58.8,0.3,3.9,4.2,-,-,-,-,-,
05011,426,（くり類） 日本ぐり ゆで,58.4,0.3,6.3,6.6,-,-,-,-,-,
05012,427,（くり類） 日本ぐり 甘露煮,40.8,0.3,2.5,2.8,-,-,-,-,-,
05013,428,（くり類） 中国ぐり 甘ぐり,44.4,1.0,7.5,8.5,-,-,-,-,-,
05014,429,くるみ いり,3.1,0.6,6.9,7.5,-,-,-,-,-,
05015,430,けし 乾,3.0,1.9,14.6,16.5,-,-,-,-,-,
05016,431,ココナッツ ココナッツパウダー,2.5,0.5,13.6,14.1,-,-,-,-,-,
05017,432,ごま 乾,4.7,1.6,9.2,10.8,-,-,-,-,-,
05018,433,ごま いり,1.6,2.5,10.1,12.6,-,-,-,-,-,
05019,434,ごま むき,4.1,0.6,12.4,13.0,-,-,-,-,-,
05042,435,ごま ねり,0.5,1.8,9.4,11.2,-,-,-,-,-,
05020,436,しい 生,37.3,0.7,2.6,3.3,-,-,-,-,-,
05021,437,すいか いり 味付け,5.9,1.1,6.0,7.1,-,-,-,-,-,
05046,438,チアシード 乾,6.5,-,-,-,1.9,3.8,31.2,0.1,36.9,
05022,439,とち 蒸し,58.0,1.0,5.6,6.6,-,-,-,-,-,
05023,440,はす 未熟 生,77.5,0.3,2.3,2.6,-,-,-,-,-,
05024,441,はす 成熟 乾,11.2,1.3,9.0,10.3,-,-,-,-,-,
05043,442,はす 成熟 ゆで,66.1,0.6,4.4,5.0,-,-,-,-,-,
05025,443,（ひし類） ひし 生,51.8,0.5,2.4,2.9,-,-,-,-,-,
05047,444,（ひし類） とうびし 生,64.3,-,-,-,0.6,0.8,6.9,0.5,8.2,
05048,445,（ひし類） とうびし ゆで,65.5,-,-,-,0.5,0.8,3.8,2.0,5.1,
05026,446,ピスタチオ いり 味付け,2.2,0.9,8.3,9.2,-,-,-,-,-,
05027,447,ひまわり フライ 味付け,2.6,0.8,6.1,6.9,-,-,-,-,-,
05028,449,ブラジルナッツ フライ 味付け,2.8,0.3,6.9,7.2,-,-,-,-,-,
05029,450,ヘーゼルナッツ フライ 味付け,1.0,0.9,6.5,7.4,-,-,-,-,-,
05030,452,ペカン フライ 味付け,1.9,0.7,6.4,7.1,-,-,-,-,-,
05031,453,マカダミアナッツ いり 味付け,1.3,Tr,6.2,6.2,-,-,-,-,-,
05032,454,まつ 生,2.5,1.0,3.1,4.1,-,-,-,-,-,
05033,455,まつ いり,1.9,0.5,6.4,6.9,-,-,-,-,-,
05034,456,らっかせい 大粒種 乾,6.0,0.5,7.0,7.4,0.7,0.6,7.2,0,8.5,
05035,457,らっかせい 大粒種 いり,1.7,0.3,6.9,7.1,0.8,0.7,9.8,0.1,11.4,
05044,458,らっかせい 小粒種 乾,6.0,0.4,7.0,7.4,-,-,-,-,-,
05045,459,らっかせい 小粒種 いり,2.1,0.3,6.9,7.2,-,-,-,-,-,
05036,460,らっかせい バターピーナッツ,2.4,0.5,6.4,6.8,0.6,1.0,7.9,Tr,9.5,
05037,461,らっかせい ピーナッツバター,1.2,0.6,5.5,6.1,0.8,0.8,6.0,0.1,7.6,
06001,462,アーティチョーク 花らい 生,85.1,6.1,2.6,8.7,-,-,-,-,-,
06002,463,アーティチョーク 花らい ゆで,85.9,6.3,2.3,8.6,-,-,-,-,-,
06003,464,あさつき 葉 生,89.0,0.7,2.6,3.3,-,-,-,-,-,
06004,465,あさつき 葉 ゆで,87.3,1.3,2.1,3.4,-,-,-,-,-,
06005,466,あしたば 茎葉 生,88.6,1.5,4.1,5.6,-,-,-,-,-,
06006,467,あしたば 茎葉 ゆで,89.5,1.4,3.9,5.3,-,-,-,-,-,
06007,468,アスパラガス 若茎 生,92.6,0.4,1.4,1.8,-,-,-,-,-,
06008,469,アスパラガス 若茎 ゆで,92.0,0.5,1.6,2.1,-,-,-,-,-,
06327,470,アスパラガス 若茎 油いため,88.3,0.4,1.7,2.1,-,-,-,-,-,
06009,471,アスパラガス 水煮缶詰,91.9,0.4,1.3,1.7,-,-,-,-,-,
06328,472,アロエ 葉 生,99.0,0.1,0.3,0.4,-,-,-,-,-,
06010,473,いんげんまめ さやいんげん 若ざや 生,92.2,0.3,2.1,2.4,-,-,-,-,-,
06011,474,いんげんまめ さやいんげん 若ざや ゆで,91.7,0.6,2.0,2.6,-,-,-,-,-,
06012,475,（うど類） うど 茎 生,94.4,0.3,1.1,1.4,-,-,-,-,-,
06013,476,（うど類） うど 茎 水さらし,95.7,0.3,1.3,1.6,-,-,-,-,-,
06014,477,（うど類） やまうど 茎 生,93.9,0.3,1.5,1.8,-,-,-,-,-,
06363,478,うるい 葉 生,92.8,0.8,2.5,3.3,-,-,-,-,-,
06015,479,えだまめ 生,71.7,0.4,4.6,5.0,-,-,-,-,-,
06016,480,えだまめ ゆで,72.1,0.5,4.1,4.6,-,-,-,-,-,
06017,481,えだまめ 冷凍,67.1,1.4,5.9,7.3,-,-,-,-,-,
06018,482,エンダイブ 葉 生,94.6,0.6,1.6,2.2,-,-,-,-,-,
06019,483,（えんどう類） トウミョウ 茎葉 生,90.9,0.2,3.1,3.3,-,-,-,-,-,
06329,484,（えんどう類） トウミョウ 芽ばえ 生,92.2,0.2,2.0,2.2,-,-,-,-,-,
06330,485,（えんどう類） トウミョウ 芽ばえ ゆで,91.7,0.5,3.0,3.5,-,-,-,-,-,
06331,486,（えんどう類） トウミョウ 芽ばえ 油いため,84.3,0.5,2.4,3.0,-,-,-,-,-,
06020,487,（えんどう類） さやえんどう 若ざや 生,88.6,0.3,2.7,3.0,-,-,-,-,-,
06021,488,（えんどう類） さやえんどう 若ざや ゆで,89.1,0.9,2.2,3.1,-,-,-,-,-,
06022,489,（えんどう類） スナップえんどう 若ざや 生,86.6,0.3,2.2,2.5,-,-,-,-,-,
06023,490,（えんどう類） グリンピース 生,76.5,0.6,7.1,7.7,-,-,-,-,-,
06024,491,（えんどう類） グリンピース ゆで,72.2,0.9,7.7,8.6,-,-,-,-,-,
06025,492,（えんどう類） グリンピース 冷凍,75.7,0.6,5.3,5.8,0.8,1.5,7.1,1.2,9.3,
06374,493,（えんどう類） グリンピース 冷凍 ゆで,74.6,-,-,-,1.0,1.2,8.1,1.6,10.3,
06375,494,（えんどう類） グリンピース 冷凍 油いため,70.1,-,-,-,0.9,1.3,7.2,1.5,9.3,
06026,495,（えんどう類） グリンピース 水煮缶詰,74.9,0.8,6.1,6.9,-,-,-,-,-,
06027,496,おおさかしろな 葉 生,94.9,0.2,1.6,1.8,-,-,-,-,-,
06028,497,おおさかしろな 葉 ゆで,94.0,0.6,1.6,2.2,-,-,-,-,-,
06029,498,おおさかしろな 塩漬,91.0,0.2,2.9,3.1,-,-,-,-,-,
06030,499,おかひじき 茎葉 生,92.5,0.5,2.0,2.5,-,-,-,-,-,
06031,500,おかひじき 茎葉 ゆで,92.9,0.5,2.2,2.7,-,-,-,-,-,
06032,501,オクラ 果実 生,90.2,1.4,3.6,5.0,-,-,-,-,-,
06033,502,オクラ 果実 ゆで,89.4,1.6,3.6,5.2,-,-,-,-,-,
06034,503,かぶ 葉 生,92.3,0.3,2.6,2.9,-,-,-,-,-,
06035,504,かぶ 葉 ゆで,92.2,0.5,3.2,3.7,-,-,-,-,-,
06036,505,かぶ 根 皮つき 生,93.9,0.3,1.2,1.5,-,-,-,-,-,
06037,506,かぶ 根 皮つき ゆで,93.8,0.5,1.3,1.8,-,-,-,-,-,
06038,507,かぶ 根 皮なし 生,93.9,0.3,1.1,1.4,-,-,-,-,-,
06039,508,かぶ 根 皮なし ゆで,93.7,0.5,1.2,1.7,-,-,-,-,-,
06040,509,かぶ 漬物 塩漬 葉,87.9,0.8,2.8,3.6,-,-,-,-,-,
06041,510,かぶ 漬物 塩漬 根 皮つき,90.5,0.5,1.4,1.9,-,-,-,-,-,
06042,511,かぶ 漬物 塩漬 根 皮なし,89.4,0.4,1.6,2.0,-,-,-,-,-,
06043,512,かぶ 漬物 ぬかみそ漬 葉,83.5,0.8,3.2,4.0,-,-,-,-,-,
06044,513,かぶ 漬物 ぬかみそ漬 根 皮つき,89.5,0.5,1.5,2.0,-,-,-,-,-,
06045,514,かぶ 漬物 ぬかみそ漬 根 皮なし,83.5,0.7,1.1,1.8,-,-,-,-,-,
06046,515,（かぼちゃ類） 日本かぼちゃ 果実 生,86.7,0.7,2.1,2.8,-,-,-,-,-,
