,,食品名,水分,水溶性食物繊維,不溶性食物繊維,食物繊維総量,低分子量水溶性食物繊維,高分子量水溶性食物繊維,不溶性食物繊維,難消化性でん粉,食物繊維総量,備考
,,成分識別子,WATER,FIBSOL,FIBINS,FIBTG,FIB-SDFS,FIB-SDFP,FIB-IDF,STARES,FIB-TDF,
,,単位,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,
01047,59,こむぎ ［中華めん類］ 中華めん 生,33.0,-,-,-,2.8,1.6,1.0,0.4,5.4,
01048,60,こむぎ ［中華めん類］ 中華めん ゆで,65.0,-,-,-,1.5,0.9,0.5,0.2,2.8,
01187,61,こむぎ ［中華めん類］ 半生中華めん ,23.7,0.8,1.6,2.4,3.2,1.9,1.1,0.4,6.2,
01049,62,こむぎ ［中華めん類］ 蒸し中華めん 蒸し中華めん,57.4,0.7,1.1,1.7,1.1,0.7,1.3,0.8,3.1,
01188,63,こむぎ ［中華めん類］ 蒸し中華めん  ソテー,50.4,-,-,-,1.3,0.8,1.5,0.9,3.6,
01050,64,こむぎ ［中華めん類］ 干し中華めん 乾,14.7,1.6,1.3,2.9,2.6,1.9,1.4,0.3,6.0,
01051,65,こむぎ ［中華めん類］ 干し中華めん ゆで,66.8,0.7,0.9,1.6,1.0,0.6,1.0,0.4,2.6,
01052,66,こむぎ ［中華めん類］ 沖縄そば 生,32.3,1.3,0.8,2.1,-,-,-,-,-,
01053,67,こむぎ ［中華めん類］ 沖縄そば ゆで,65.5,0.8,0.7,1.5,-,-,-,-,-,
01054,68,こむぎ ［中華めん類］ 干し沖縄そば 乾,13.7,1.3,0.8,2.1,-,-,-,-,-,
01055,69,こむぎ ［中華めん類］ 干し沖縄そば ゆで,65.0,0.6,0.9,1.5,-,-,-,-,-,
01056,70,こむぎ ［即席めん類］ 即席中華めん 油揚げ味付け,2.0,1.6,0.9,2.5,-,-,-,-,-,
01057,71,こむぎ ［即席めん類］ 即席中華めん 油揚げ 乾 （添付調味料等を含むもの）,3.0,1.4,1.0,2.4,-,-,-,-,-,
01198,72,こむぎ ［即席めん類］ 即席中華めん 油揚げ 調理後全体 （添付調味料等を含むもの）,78.5,0.3,0.2,0.5,-,-,-,-,-,01057即席中華めん、油揚げ、乾より推計
01189,73,こむぎ ［即席めん類］ 即席中華めん 油揚げ ゆで （添付調味料等を含まないもの）,59.8,-,-,-,0.9,0.7,1.1,0.5,2.6,
01144,74,こむぎ ［即席めん類］ 即席中華めん 油揚げ 乾 （添付調味料等を含まないもの）,3.7,-,-,-,2.0,1.6,1.9,0.8,5.5,
01058,75,こむぎ ［即席めん類］ 即席中華めん 非油揚げ 乾 （添付調味料等を含むもの）,10.0,1.4,0.9,2.3,-,-,-,-,-,
01199,76,こむぎ ［即席めん類］ 即席中華めん 非油揚げ 調理後全体 （添付調味料等を含むもの）,76.2,0.3,0.3,0.6,-,-,-,-,-,01058即席中華めん、非油揚げ、乾より推計
01190,77,こむぎ ［即席めん類］ 即席中華めん 非油揚げ ゆで （添付調味料等を含まないもの）,63.9,-,-,-,1.0,0.5,1.2,0.5,2.7,
01145,78,こむぎ ［即席めん類］ 即席中華めん 非油揚げ 乾 （添付調味料等を含まないもの）,10.7,-,-,-,2.6,1.8,2.1,0.8,6.5,
01193,79,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 乾 （添付調味料等を含むもの）,5.3,-,-,-,3.0,1.3,1.6,0.5,5.8,
01201,80,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 調理後全体 （添付調味料等を含むもの）,79.8,-,-,-,0.7,0.3,0.4,0.1,1.3,01193中華スタイル即席カップめん、油揚げ、塩味、乾より推計
