,,食物名,エネルギーJ,エネルギー,水分,アミノ酸組成による たんぱく質,"たんぱく質",脂肪酸のトリアシルグリセロール当量,"コレステロール",脂質,利用可能炭水化物,利用可能炭水化物 （質量計）,"差引き法による 利用可能炭水化物 ","食物繊維総量",糖アルコール,炭水化物,有機酸,灰分,ナ ト リ ウ ム,カ リ ウ ム,カ ル シ ウ ム,マ グ ネ シ ウ ム,リ ン,鉄,亜 鉛,銅,マ ン ガ ン,ヨ ウ 素,セ レ ン,ク ロ ム,モリブデン,レチノール,α|カロテン,β|カロテン,β|クリプトキサンチン,β|カロテン当量,レチノール活性当量,"      ビタミンD",α|トコフェロール,β|トコフェロール,γ|トコフェロール,δ|トコフェロール,ビタミンK,ビタミンＢ１,"ビタミン B２","ナイアシン",ナイアシン当量,ビタミンＢ６,"ビタミンＢ１２","葉 酸",パントテン酸,ビ オ チ ン,ビタミンC,アルコール,食塩相当量
,,単位,kJ,kcal,g,g,"g",g,"mg",g,g,g,"g","g",g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,"μg",mg,mg,mg,mg,μg,mg,"mg","mg",mg,mg,"μg","μg",mg,μg,mg,g,g
,,成分識別子,ENERC,ENERC_KCAL,WATER,PROTCAA,"PROT-",FATNLEA,"CHOLE",FAT-,CHOAVLM,CHOAVL,"CHOAVLDF-","FIB-",POLYL,CHOCDF-,OA,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA,CARTB,CRYPXB,CARTBEQ,VITA_RAE,"VITD",TOCPHA,TOCPHB,TOCPHG,TOCPHD,"VITK ",THIA,"RIBF","NIA",NE,VITB6A,"VITB12","FOL",PANTAC,BIOT,VITC,ALC,NACL_EQ
01010,11,おおむぎ 麦こがし,1553,368,3.5,11.1,"12.5",4.2,"0",5.0,80.1,72.8,"63.8","15.5",-,77.1,-,1.9,2,490,43,130,340,3.1,3.8,0.41,1.81,-,-,-,-,0,-,-,-,0,0,"0",0.5,0.1,0.2,0,0,0.09,"0.10","7.6",11.0,0.09,"0","24",0.28,-,0,-,0
01167,12,キヌア 玄穀,1455,344,12.2,9.7,"13.4",2.7,"0",3.2,60.7,55.4,"67.1","6.2",-,69.0,-,2.2,35,580,46,180,410,4.3,2.8,0.47,2.45,2,3,3,23,0,0,11,1,12,1,"0",2.6,0.1,4.0,0.1,Tr,0.45,"0.24","1.2",4.0,0.39,"Tr","190",0.95,23.0,0,-,0.1
01011,13,きび 精白粒,1496,353,13.8,10.0,"11.3",2.9,"0",3.3,71.5,65.0,"70.9","1.6",0.1,70.9,-,0.7,2,200,9,84,160,2.1,2.7,0.38,-,0,2,1,16,0,0,0,0,0,0,"0",Tr,Tr,0.5,0.3,0,0.34,"0.09","3.7",6.2,0.20,"0","13",0.95,7.9,0,-,0
01012,14,こむぎ ［玄穀］ 国産 普通,1391,329,12.5,9.5,"10.8",2.5,"0",3.1,64.3,58.5,"59.8","14.0",-,72.1,-,1.6,2,440,26,82,350,3.2,2.6,0.38,3.90,1,3,1,29,0,-,-,-,0,0,"0",1.2,0.6,0,0,0,0.41,"0.09","6.3",8.9,0.35,"0","38",1.03,7.5,0,-,0
01013,15,こむぎ ［玄穀］ 輸入 軟質,1457,344,10.0,-,"10.1",2.7,"0",3.3,68.4,62.2,"64.6","11.2",-,75.2,-,1.4,2,390,36,110,290,2.9,1.7,0.32,3.79,0,5,1,19,0,-,-,-,0,0,"0",1.2,0.6,0,0,0,0.49,"0.09","5.0",6.7,0.34,"0","40",1.07,9.6,0,-,0
01014,16,こむぎ ［玄穀］ 輸入 硬質,1406,332,13.0,-,"13.0",2.5,"0",3.0,62.6,57.0,"58.5","11.4",-,69.4,-,1.6,2,340,26,140,320,3.2,3.1,0.43,4.09,0,54,1,47,0,-,-,-,0,0,"0",1.2,0.6,0,0,0,0.35,"0.09","5.8",8.0,0.34,"0","49",1.29,11.0,0,-,0
01015,17,こむぎ ［小麦粉］ 薄力粉 1等,1485,349,14.0,7.7,"8.3",1.3,"0",1.5,80.3,73.1,"74.1","2.5",-,75.8,-,0.4,Tr,110,20,12,60,0.5,0.3,0.08,0.43,Tr,4,2,12,0,-,-,-,0,0,"0",0.3,0.2,0,0,0,0.11,"0.03","0.6",2.4,0.03,"0","9",0.53,1.2,0,-,0
01016,18,こむぎ ［小麦粉］ 薄力粉 2等,1467,345,14.0,8.3,"9.3",1.6,"0",1.9,77.7,70.7,"72.9","2.6",-,74.3,-,0.5,Tr,130,23,30,77,0.9,0.7,0.18,0.77,0,3,2,14,0,-,-,-,0,0,"0",1.0,0.5,0,0,0,0.21,"0.04","1.0",2.9,0.09,"0","14",0.62,2.5,0,-,0
01018,19,こむぎ ［小麦粉］ 中力粉 1等,1435,337,14.0,8.3,"9.0",1.4,"0",1.6,76.4,69.5,"73.2","2.8",-,75.1,-,0.4,1,100,17,18,64,0.5,0.5,0.11,0.43,0,7,Tr,9,0,-,-,-,0,0,"0",0.3,0.2,0,0,0,0.10,"0.03","0.6",2.4,0.05,"0","8",0.47,1.5,0,-,0
01019,20,こむぎ ［小麦粉］ 中力粉 2等,1466,346,14.0,8.9,"9.7",1.6,"0",1.8,73.1,66.5,"73.0","2.1",-,74.0,-,0.5,1,110,24,26,80,1.1,0.6,0.14,0.77,0,7,2,10,0,-,-,-,0,0,"0",0.8,0.4,0,0,0,0.22,"0.04","1.2",3.1,0.07,"0","12",0.66,2.6,0,-,0
