,,食物名,エネルギーJ,エネルギー,水分,アミノ酸組成による たんぱく質,"たんぱく質",脂肪酸のトリアシルグリセロール当量,"コレステロール",脂質,利用可能炭水化物,利用可能炭水化物 （質量計）,"差引き法による 利用可能炭水化物 ","食物繊維総量",糖アルコール,炭水化物,有機酸,灰分,ナ ト リ ウ ム,カ リ ウ ム,カ ル シ ウ ム,マ グ ネ シ ウ ム,リ ン,鉄,亜 鉛,銅,マ ン ガ ン,ヨ ウ 素,セ レ ン,ク ロ ム,モリブデン,レチノール,α|カロテン,β|カロテン,β|クリプトキサンチン,β|カロテン当量,レチノール活性当量,"      ビタミンD",α|トコフェロール,β|トコフェロール,γ|トコフェロール,δ|トコフェロール,ビタミンK,ビタミンＢ１,"ビタミン B２","ナイアシン",ナイアシン当量,ビタミンＢ６,"ビタミンＢ１２","葉 酸",パントテン酸,ビ オ チ ン,ビタミンC,アルコール,食塩相当量
,,単位,kJ,kcal,g,g,"g",g,"mg",g,g,g,"g","g",g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,"μg",mg,mg,mg,mg,μg,mg,"mg","mg",mg,mg,"μg","μg",mg,μg,mg,g,g
,,成分識別子,ENERC,ENERC_KCAL,WATER,PROTCAA,"PROT-",FATNLEA,"CHOLE",FAT-,CHOAVLM,CHOAVL,"CHOAVLDF-","FIB-",POLYL,CHOCDF-,OA,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA,CARTB,CRYPXB,CARTBEQ,VITA_RAE,"VITD",TOCPHA,TOCPHB,TOCPHG,TOCPHD,"VITK ",THIA,"RIBF","NIA",NE,VITB6A,"VITB12","FOL",PANTAC,BIOT,VITC,ALC,NACL_EQ
01126,183,そば そば米,1471,347,12.8,8.0,"9.6",2.3,"0",2.5,70.8,64.4,"71.8","3.7",-,73.7,-,1.4,1,390,12,150,260,1.6,1.4,0.38,0.76,-,-,-,-,0,-,-,-,0,0,"0",0.1,0,1.9,0.1,0,0.42,"0.10","4.3",6.9,0.35,"0","23",1.53,-,0,-,0
01127,184,そば そば 生,1149,271,33.0,8.2,"9.8",1.7,"0",1.9,56.4,51.3,"50.3","6.0",-,54.5,-,0.8,1,160,18,65,170,1.4,1.0,0.21,0.86,4,24,3,25,0,-,-,-,0,0,"0",0.2,0.1,1.9,0.1,-,0.19,"0.09","3.4",5.4,0.15,"0","19",1.09,5.5,0,-,0
01128,185,そば そば ゆで,552,130,68.0,3.9,"4.8",0.9,"0",1.0,27.0,24.5,"24.1","2.9",-,26.0,-,0.2,2,34,9,27,80,0.8,0.4,0.10,0.38,Tr,12,2,11,0,-,-,-,0,0,"0",0.1,Tr,0.8,Tr,-,0.05,"0.02","0.5",1.5,0.04,"0","8",0.33,2.7,0,-,0
01197,186,そば そば 半生そば,1378,325,23.0,8.7,"10.5",-,"0",3.8,64.9,59.0,"56.5","6.9",0.1,61.8,-,0.9,3,190,20,74,180,1.3,1.2,0.24,0.99,4,27,4,28,0,0,0,0,0,0,"0",0.2,0.1,2.2,0.1,-,0.22,"0.10","2.3",4.5,0.16,"0","22",1.25,6.3,0,-,0
01129,187,そば 干しそば 乾,1463,344,14.0,11.7,"14.0",2.1,"0",2.3,72.4,65.9,"65.6","3.7",-,66.7,-,3.0,850,260,24,100,230,2.6,1.5,0.34,1.11,-,-,-,-,0,-,-,-,0,0,"0",0.3,0.2,1.3,0.1,0,0.37,"0.08","3.2",6.1,0.24,"0","25",1.15,-,0,-,2.2
01130,188,そば 干しそば ゆで,479,113,72.0,3.9,"4.8",0.6,"0",0.7,23.6,21.5,"21.6","1.5",-,22.1,-,0.4,50,13,12,33,72,0.9,0.4,0.10,0.33,-,-,-,-,0,-,-,-,0,0,"0",0.1,0.1,0.5,0,0,0.08,"0.02","0.6",1.6,0.05,"0","5",0.22,-,0,-,0.1
01131,189,とうもろこし 玄穀 黄色種,1441,341,14.5,7.4,"8.6",4.5,"0",5.0,71.2,64.8,"63.3","9.0",-,70.6,-,1.3,3,290,5,75,270,1.9,1.7,0.18,-,0,6,Tr,20,0,11,99,100,150,13,"0",1.0,0.1,3.9,0.1,0,0.30,"0.10","2.0",3.0,0.39,"0","28",0.57,8.3,0,-,0
01162,190,とうもろこし 玄穀 白色種,1441,341,14.5,7.4,"8.6",4.5,"0",5.0,71.2,64.8,"63.3","9.0",-,70.6,-,1.3,3,290,5,75,270,1.9,1.7,0.18,-,0,6,Tr,20,0,-,-,-,Tr,0,"0",1.0,0.1,3.9,0.1,0,0.30,"0.10","2.0",3.0,0.39,"0","28",0.57,8.3,0,-,0
01132,191,とうもろこし コーンミール 黄色種,1591,375,14.0,7.0,"8.3",3.6,"0",4.0,79.7,72.5,"66.1","8.0",-,72.4,-,1.3,2,220,5,99,130,1.5,1.4,0.16,0.38,-,-,-,-,0,11,100,100,160,13,"0",1.1,0.1,4.1,0.2,0,0.15,"0.08","0.9",1.6,0.43,"0","28",0.57,-,0,-,0
01163,192,とうもろこし コーンミール 白色種,1591,375,14.0,7.0,"8.3",3.6,"0",4.0,79.7,72.5,"66.1","8.0",-,72.4,-,1.3,2,220,5,99,130,1.5,1.4,0.16,0.38,-,-,-,-,0,-,-,-,Tr,0,"0",1.1,0.1,4.1,0.2,0,0.15,"0.08","0.9",1.6,0.43,"0","28",0.57,-,0,-,0
01133,193,とうもろこし コーングリッツ 黄色種,1498,352,14.0,7.6,"8.2",0.9,"0",1.0,82.3,74.8,"74.7","2.4",-,76.4,-,0.4,1,160,2,21,50,0.3,0.4,0.07,-,Tr,6,0,10,0,15,110,130,180,15,"0",0.2,Tr,0.5,0,0,0.06,"0.05","0.7",1.4,0.11,"0","8",0.32,3.1,0,-,0
01164,194,とうもろこし コーングリッツ 白色種,1498,352,14.0,7.6,"8.2",0.9,"0",1.0,82.3,74.8,"74.7","2.4",-,76.4,-,0.4,1,160,2,21,50,0.3,0.4,0.07,-,Tr,6,0,10,0,-,-,-,Tr,0,"0",0.2,Tr,0.5,0,0,0.06,"0.05","0.7",1.4,0.11,"0","8",0.32,3.1,0,-,0
01134,195,とうもろこし コーンフラワー 黄色種,1478,347,14.0,5.7,"6.6",2.5,"0",2.8,79.7,72.5,"75.6","1.7",-,76.1,-,0.5,1,200,3,31,90,0.6,0.6,0.08,0.13,-,-,-,-,0,14,69,100,130,11,"0",0.2,Tr,0.8,0,0,0.14,"0.06","1.3",2.1,0.20,"0","9",0.37,-,0,-,0
01165,196,とうもろこし コーンフラワー 白色種,1478,347,14.0,5.7,"6.6",2.5,"0",2.8,79.7,72.5,"75.6","1.7",-,76.1,-,0.5,1,200,3,31,90,0.6,0.6,0.08,0.13,-,-,-,-,0,-,-,-,Tr,0,"0",0.2,Tr,0.8,0,0,0.14,"0.06","1.3",2.1,0.20,"0","9",0.37,-,0,-,0
01135,197,とうもろこし ジャイアントコーン フライ 味付け,1718,409,4.3,5.2,"5.7",10.6,"0",11.8,-,-,"67.8","10.5",-,76.6,-,1.6,430,110,8,88,180,1.3,1.6,0.07,0.30,-,-,-,-,0,0,0,-,0,0,"0",1.4,0.1,2.4,0.3,1,0.08,"0.02","1.9",2.4,0.11,"0","12",0.12,-,0,-,1.1
01136,198,とうもろこし ポップコーン,1979,472,4.0,8.7,"10.2",21.7,"0",22.8,59.5,54.1,"52.8","9.3",-,59.6,-,3.4,570,300,7,95,290,4.3,2.4,0.20,-,-,-,-,-,0,3,91,170,180,15,"0",3.0,0.1,8.3,0.4,-,0.13,"0.08","2.0",3.2,0.27,"0","22",0.46,-,0,-,1.4
01137,199,とうもろこし コーンフレーク,1618,380,4.5,6.8,"7.8",1.2,"0",1.7,89.9,82.2,"82.7","2.4",-,83.6,-,2.4,830,95,1,14,45,0.9,0.2,0.07,-,Tr,5,3,15,0,10,72,80,120,10,"0",0.3,0.1,3.1,2.0,0,0.03,"0.02","0.3",1.0,0.04,"0","6",0.22,1.6,0,-,2.1
01138,200,はとむぎ 精白粒,1496,353,13.0,12.5,"13.3",-,"0",1.3,-,-,"72.4","0.6",-,72.2,-,0.2,1,85,6,12,20,0.4,0.4,0.11,0.81,-,-,-,-,0,-,-,-,0,0,"0",0,0,0.1,0,0,0.02,"0.05","0.5",1.7,0.07,"0","16",0.16,-,0,-,0
01139,201,ひえ 精白粒,1534,361,12.9,8.4,"9.4",3.0,"0",3.3,77.9,70.8,"70.2","4.3",-,73.2,-,1.3,6,240,7,58,280,1.6,2.2,0.15,1.37,0,4,2,10,0,0,0,0,0,0,"0",0.1,0,1.2,0,0,0.25,"0.02","0.4",2.3,0.17,"0","14",1.50,3.6,0,-,Tr
01140,202,もろこし 玄穀,1454,344,12.0,9.0,"10.3",4.7,"0",4.7,65.6,59.7,"62.7","9.7",-,71.1,-,1.9,2,590,16,160,430,3.3,2.7,0.44,1.63,1,1,1,34,0,-,-,-,0,0,"0",0.5,0,2.3,0,0,0.35,"0.10","6.0",8.0,0.31,"0","54",1.42,15.0,0,-,0
01141,203,もろこし 精白粒,1473,348,12.5,8.0,"9.5",2.3,"0",2.6,72.0,65.4,"71.5","4.4",-,74.1,-,1.3,2,410,14,110,290,2.4,1.3,0.21,1.12,-,-,-,-,0,-,-,-,0,0,"0",0.2,0,1.5,0,0,0.10,"0.03","3.0",5.0,0.24,"0","29",0.66,-,0,-,0
01142,204,ライむぎ 全粒粉,1342,317,12.5,10.8,"12.7",2.0,"0",2.7,61.2,55.7,"60.0","13.3",-,70.7,-,1.4,1,400,31,100,290,3.5,3.5,0.44,2.15,0,2,1,65,0,-,-,-,0,0,"0",1.0,0.3,0,0,0,0.47,"0.20","1.7",4.2,0.22,"0","65",0.87,9.5,0,-,0
01143,205,ライむぎ ライ麦粉,1368,324,13.5,7.8,"8.5",1.2,"0",1.6,64.4,58.6,"64.0","12.9",-,75.8,-,0.6,1,140,25,30,140,1.5,0.7,0.11,-,-,-,-,-,0,-,-,-,0,0,"0",0.7,0.3,0,0,0,0.15,"0.07","0.9",2.6,0.10,"0","34",0.63,-,0,-,0
02068,206,＜いも類＞ アメリカほどいも 塊根 生,616,146,56.5,3.5,"5.9",0.2,"-",0.6,33.3,30.5,"26.8","11.1",-,35.6,0.4,1.5,5,650,73,39,120,1.1,0.6,0.13,0.26,0,Tr,0,54,-,0,3,Tr,3,0,"-",0.8,0,Tr,0,3,0.12,"0.03","1.4",2.9,0.16,"-","47",0.69,3.1,15,-,Tr
02069,207,＜いも類＞ アメリカほどいも 塊根 ゆで,610,144,57.1,3.7,"6.0",0.3,"-",0.8,30.4,27.9,"28.5","8.4",-,34.5,0.4,1.5,5,650,78,42,120,1.0,0.7,0.14,0.34,0,1,0,46,-,0,3,Tr,3,0,"-",0.9,0,0.1,0,-,0.15,"0.03","1.6",3.1,0.15,"-","49",0.75,3.2,9,-,Tr
02001,208,＜いも類＞ きくいも 塊茎 生,278,66,81.7,-,"1.9",-,"0",0.4,2.8,2.7,"12.2","1.9",-,14.7,0.5,1.3,1,610,14,16,66,0.3,0.3,0.17,0.08,1,Tr,Tr,2,0,0,0,0,0,0,"0",0.2,Tr,0,0,0,0.08,"0.04","1.6",1.9,0.09,"0","20",0.37,3.7,10,-,0
02041,209,＜いも類＞ きくいも 塊茎 水煮,215,51,85.4,-,"1.6",-,"0",0.5,2.2,2.1,"8.7","2.1",-,11.3,0.4,1.2,1,470,13,13,56,0.3,0.3,0.14,0.07,-,-,-,-,0,0,0,0,0,0,"0",0.2,0,0,0,0,0.06,"0.03","1.2",1.5,0.06,"0","19",0.29,-,6,-,0
02002,210,＜いも類＞ こんにゃく 精粉,786,194,6.0,-,"3.0",-,"0",0.1,-,-,"5.4","79.9",-,85.3,-,5.6,18,3000,57,70,160,2.1,2.2,0.27,0.41,4,1,5,44,0,-,-,-,0,0,"0",0.2,0,0,0,0,0,"0","0",0.5,1.20,"0","65",1.52,4.5,0,-,0
02003,211,＜いも類＞ こんにゃく 板こんにゃく 精粉こんにゃく,21,5,97.3,-,"0.1",-,"0",Tr,-,-,"0.1","2.2",-,2.3,-,0.3,10,33,43,2,5,0.4,0.1,0.02,0.02,-,-,-,-,0,-,-,-,0,0,"0",0,0,0,0,0,0,"0","0",Tr,0.02,"0","1",0,-,0,-,0
02004,212,＜いも類＞ こんにゃく 板こんにゃく 生いもこんにゃく,35,8,96.2,-,"0.1",-,"0",0.1,-,-,"0.3","3.0",-,3.3,-,0.3,2,44,68,5,7,0.6,0.2,0.04,0.05,93,0,1,1,0,0,0,0,0,0,"0",Tr,0,0,0,0,0,"0","Tr",Tr,0.02,"0","2",0,0.1,0,-,0
02042,213,＜いも類＞ こんにゃく 赤こんにゃく,24,6,97.1,-,"0.1",-,"0",Tr,-,-,"0.2","2.3",-,2.5,-,0.3,11,48,46,3,5,78.0,0.1,0.03,0.02,-,-,-,-,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0","0",Tr,0.02,"0","1",0,-,0,-,Tr
02043,214,＜いも類＞ こんにゃく 凍みこんにゃく 乾,777,192,12.0,-,"3.3",-,"0",1.4,-,-,"5.8","71.3",-,77.1,-,6.2,52,950,1600,110,150,12.0,4.4,0.86,1.22,-,0,-,-,0,0,0,0,0,0,"0",0.4,0,0,0,0,0,"0","0.3",0.9,0.48,"0","61",0,-,0,-,0.1
02044,215,＜いも類＞ こんにゃく 凍みこんにゃく ゆで,169,42,80.8,-,"0.7",-,"0",0.3,-,-,"1.3","15.5",-,16.8,-,1.4,11,210,340,23,32,2.7,1.0,0.19,0.27,-,0,-,-,0,0,0,0,0,0,"0",0.1,0,0,0,0,0,"0","0.1",0.2,0.10,"0","13",0,-,0,-,Tr
02005,216,＜いも類＞ こんにゃく しらたき,28,7,96.5,-,"0.2",-,"0",Tr,-,-,"0.1","2.9",-,3.0,-,0.3,10,12,75,4,10,0.5,0.1,0.02,0.03,-,-,-,-,0,-,-,-,0,0,"0",0,0,0,0,0,0,"0","0",Tr,0.01,"0","0",0,-,0,-,0
02045,217,＜いも類＞ （さつまいも類） さつまいも 塊根 皮つき 生,539,127,64.6,0.8,"0.9",0.1,"0",0.5,31.0,28.4,"30.5","2.8",-,33.1,0.4,0.9,23,380,40,24,46,0.5,0.2,0.13,0.37,1,0,0,5,0,0,40,0,40,3,"0",1.0,0,Tr,0,0,0.10,"0.02","0.6",0.8,0.20,"0","49",0.48,4.8,25,-,0.1
02046,218,＜いも類＞ （さつまいも類） さつまいも 塊根 皮つき 蒸し,548,129,64.2,0.7,"0.9",0.1,"0",0.2,31.1,28.9,"29.7","3.8",-,33.7,0.5,1.0,22,390,40,23,47,0.5,0.2,0.13,0.39,1,Tr,0,4,0,0,45,0,45,4,"0",1.4,0,Tr,0,0,0.10,"0.02","0.7",0.9,0.20,"0","54",0.56,4.9,20,-,0.1
02047,219,＜いも類＞ （さつまいも類） さつまいも 塊根 皮つき 天ぷら,866,205,52.4,1.2,"1.4",6.3,"-",6.8,36.3,33.5,"35.6","3.1",-,38.4,0.5,1.0,36,380,51,25,57,0.5,0.2,0.14,0.63,1,Tr,0,5,0,0,58,0,58,5,"0",2.6,Tr,2.7,0,11,0.11,"0.04","0.7",1.0,0.20,"0","57",0.60,5.3,21,-,0.1
02006,220,＜いも類＞ （さつまいも類） さつまいも 塊根 皮なし 生,536,126,65.6,1.0,"1.2",0.1,"0",0.2,30.9,28.3,"29.7","2.2",-,31.9,0.4,1.0,11,480,36,24,47,0.6,0.2,0.17,0.41,1,0,1,4,0,0,28,0,28,2,"0",1.5,Tr,Tr,0,0,0.11,"0.04","0.8",1.1,0.26,"0","49",0.90,4.1,29,-,Tr
02007,221,＜いも類＞ （さつまいも類） さつまいも 塊根 皮なし 蒸し,559,131,65.6,1.0,"1.2",0.1,"0",0.2,32.6,30.3,"30.0","2.3",-,31.9,-,1.0,11,480,36,24,47,0.6,0.2,0.17,0.41,1,Tr,Tr,4,0,0,29,1,29,2,"0",1.5,Tr,Tr,0,0,0.11,"0.04","0.8",1.1,0.27,"0","50",0.90,5.0,29,-,Tr
02008,222,＜いも類＞ （さつまいも類） さつまいも 塊根 皮なし 焼き,643,151,58.1,1.2,"1.4",0.1,"0",0.2,36.7,34.4,"35.3","3.5",-,39.0,0.5,1.3,13,540,34,23,55,0.7,0.2,0.20,0.32,-,-,-,-,0,-,-,-,6,1,"0",1.3,Tr,0,0,0,0.12,"0.06","1.0",1.3,0.33,"0","47",1.30,-,23,-,0
02009,223,＜いも類＞ （さつまいも類） さつまいも 蒸し切干,1176,277,22.2,2.7,"3.1",0.2,"0",0.6,66.5,62.5,"65.8","5.9",-,71.9,1.0,2.2,18,980,53,45,93,2.1,0.5,0.30,0.40,-,-,-,-,0,-,-,-,Tr,0,"0",1.3,Tr,0,0,0,0.19,"0.08","1.6",2.4,0.41,"0","13",1.35,-,9,-,0
02048,224,＜いも類＞ （さつまいも類） むらさきいも 塊根 皮なし 生,522,123,66.0,0.9,"1.2",0.1,"0",0.3,29.9,27.5,"29.2","2.5",-,31.7,0.4,0.8,30,370,24,26,56,0.6,0.2,0.21,0.50,1,0,0,2,0,0,4,0,4,Tr,"0",1.3,0,Tr,0,0,0.12,"0.02","1.3",1.5,0.18,"0","22",0.54,6.1,29,-,0.1
02049,225,＜いも類＞ （さつまいも類） むらさきいも 塊根 皮なし 蒸し,519,122,66.2,1.0,"1.2",0.1,"0",0.3,29.2,27.2,"28.3","3.0",-,31.4,0.5,0.9,28,420,34,26,55,0.6,0.3,0.22,0.44,Tr,0,0,2,0,0,5,0,5,Tr,"0",1.9,0,Tr,0,0,0.13,"0.03","1.5",1.8,0.16,"0","24",0.61,6.0,24,-,0.1
02010,226,＜いも類＞ （さといも類） さといも 球茎 生,227,53,84.1,1.2,"1.5",0.1,"0",0.1,11.2,10.3,"10.5","2.3",-,13.1,0.6,1.2,Tr,640,10,19,55,0.5,0.3,0.15,0.19,Tr,1,0,8,0,0,5,0,5,Tr,"0",0.6,0,0,0,0,0.07,"0.02","1.0",1.5,0.15,"0","30",0.48,3.1,6,-,0
02011,227,＜いも類＞ （さといも類） さといも 球茎 水煮,221,52,84.0,1.3,"1.5",0.1,"0",0.1,11.1,10.2,"11.3","2.4",-,13.4,-,1.0,1,560,14,17,47,0.4,0.3,0.13,0.17,0,Tr,0,7,0,0,4,0,4,Tr,"0",0.5,0,0,0,0,0.06,"0.02","0.8",1.4,0.14,"0","28",0.42,2.8,5,-,0
02012,228,＜いも類＞ （さといも類） さといも 球茎 冷凍,292,69,80.9,1.8,"2.2",0.1,"0",0.1,13.7,12.5,"13.9","2.0",-,16.1,0.6,0.7,3,340,20,20,53,0.6,0.4,0.13,0.57,-,-,-,-,0,0,5,0,5,Tr,"0",0.7,0,0,0,0,0.07,"0.01","0.7",1.5,0.14,"0","22",0.32,-,5,-,0
02050,229,＜いも類＞ （さといも類） セレベス 球茎 生,338,80,76.4,1.7,"2.2",0.2,"0",0.3,17.1,15.6,"17.3","2.3",-,19.8,0.8,1.3,0,660,18,29,97,0.6,0.7,0.15,0.32,1,0,Tr,24,0,0,14,2,15,1,"0",0.6,0,0,0,0,0.10,"0.03","1.7",2.4,0.21,"0","28",0.48,3.0,6,-,0
02051,230,＜いも類＞ （さといも類） セレベス 球茎 水煮,326,77,77.5,1.7,"2.1",0.2,"0",0.3,16.6,15.2,"16.8","2.2",-,19.1,0.6,1.0,0,510,17,24,82,0.6,0.8,0.12,0.31,Tr,0,0,20,0,0,12,3,13,1,"0",0.6,0,0,0,0,0.08,"0.02","1.5",2.1,0.16,"0","23",0.38,2.7,4,-,0
02052,231,＜いも類＞ （さといも類） たけのこいも 球茎 生,411,97,73.4,1.3,"1.7",0.2,"0",0.4,20.4,18.6,"20.6","2.8",-,23.5,0.6,1.0,1,520,39,32,70,0.5,1.5,0.11,0.55,Tr,Tr,0,10,0,0,12,3,13,1,"0",0.8,0,0,0,0,0.05,"0.03","0.7",1.2,0.21,"0","41",0.31,3.3,6,-,0
02053,232,＜いも類＞ （さといも類） たけのこいも 球茎 水煮,363,86,75.4,1.3,"1.6",0.2,"0",0.4,19.2,17.6,"19.3","2.4",-,21.8,0.5,0.8,1,410,37,28,63,0.5,1.5,0.09,0.53,Tr,Tr,0,10,0,0,11,3,12,1,"0",0.7,0,0,0,0,0.05,"0.02","0.6",1.0,0.14,"0","39",0.23,2.8,4,-,0
02013,233,＜いも類＞ （さといも類） みずいも 球茎 生,470,111,70.5,0.5,"0.7",0.2,"0",0.4,25.3,23.1,"25.3","2.2",-,27.6,0.5,0.8,6,290,46,23,35,1.0,0.2,0.05,0.56,9,1,0,1,0,-,-,-,9,1,"0",0.6,0,0,0,0,0.16,"0.02","0.6",0.8,0.21,"0","27",0.20,2.4,7,-,0
02014,234,＜いも類＞ （さといも類） みずいも 球茎 水煮,428,101,72.0,0.5,"0.7",0.2,"0",0.4,24.1,22.0,"23.5","2.5",-,26.1,0.4,0.8,5,270,79,23,35,1.0,0.2,0.05,0.47,6,1,0,1,0,-,-,-,Tr,0,"0",0.6,0,0,0,0,0.16,"0.02","0.6",0.8,0.17,"0","27",0.14,2.1,4,-,0
02015,235,＜いも類＞ （さといも類） やつがしら 球茎 生,398,94,74.5,2.5,"3.0",0.3,"0",0.7,20.2,18.4,"18.6","2.8",-,20.5,-,1.3,1,630,39,42,72,0.7,1.4,0.23,1.30,1,0,1,1,0,-,-,-,7,1,"0",1.0,0,0,0,0,0.13,"0.06","0.7",1.6,0.22,"0","39",0.50,3.1,7,-,0
02016,236,＜いも類＞ （さといも類） やつがしら 球茎 水煮,392,92,75.6,2.3,"2.7",0.3,"0",0.6,19.9,18.2,"17.9","2.8",-,20.0,-,1.1,1,520,34,39,56,0.6,1.3,0.21,1.25,Tr,0,0,1,0,-,-,-,Tr,0,"0",1.1,0,0,0,0,0.11,"0.04","0.5",1.3,0.17,"0","30",0.49,2.6,5,-,0
02063,237,＜いも類＞ じゃがいも 塊茎 皮つき 生,213,51,81.1,1.4,"1.8",Tr,"0",0.1,15.5,14.2,"6.2","9.8",0,15.9,0.5,1.0,1,420,4,19,46,1.0,0.2,0.09,0.42,1,0,1,3,0,0,2,0,2,0,"0",Tr,0,0,0,1,0.08,"0.03","1.6",1.9,0.20,"0","20",0.49,0.5,28,-,0
02064,238,＜いも類＞ じゃがいも 塊茎 皮つき 電子レンジ調理,331,78,77.6,1.6,"2.1",Tr,"0",0.2,17.1,15.6,"15.5","3.9",0,19.2,0.5,0.9,Tr,430,4,23,58,0.9,0.3,0.12,0.45,1,Tr,1,3,0,1,6,Tr,7,1,"0",0.1,0,0,0,1,0.07,"0.02","1.7",2.1,0.19,"0","15",0.33,0.6,13,-,0
02065,239,＜いも類＞ じゃがいも 塊茎 皮つき フライドポテト （生を揚げたもの）,641,153,65.2,2.1,"2.7",5.3,"1",5.6,23.6,21.6,"21.4","4.3",0,25.4,0.7,1.1,1,580,6,29,78,1.6,0.4,0.14,0.55,2,0,2,4,0,1,15,1,16,1,"0",1.1,0,2.2,0.1,11,0.09,"0.03","2.3",2.7,0.22,"0","26",0.45,0.8,16,-,0
02017,240,＜いも類＞ じゃがいも 塊茎 皮なし 生,245,59,79.8,1.3,"1.8",Tr,"0",0.1,17.0,15.5,"8.5","8.9",0,17.3,0.5,1.0,1,410,4,19,47,0.4,0.2,0.09,0.37,1,0,4,3,0,Tr,2,0,3,0,"0",Tr,0,0,0,1,0.09,"0.03","1.5",1.8,0.20,"0","20",0.50,0.4,28,-,0
02019,241,＜いも類＞ じゃがいも 塊茎 皮なし 水煮,301,71,80.6,1.4,"1.7",Tr,"0",0.1,16.0,14.6,"13.9","3.1",0,16.9,0.4,0.7,1,340,4,16,32,0.6,0.2,0.10,0.10,0,0,2,3,0,Tr,2,Tr,3,0,"0",0.1,Tr,Tr,Tr,0,0.07,"0.03","1.0",1.3,0.18,"0","18",0.41,0.3,18,-,0
02018,242,＜いも類＞ じゃがいも 塊茎 皮なし 蒸し,322,76,78.8,1.5,"1.9",0.1,"0",0.3,16.6,15.1,"14.7","3.5",0,18.1,0.5,0.9,1,420,5,24,38,0.6,0.3,0.08,0.12,Tr,Tr,1,4,0,1,4,1,5,Tr,"0",0.1,0,0,0,0,0.08,"0.03","1.0",1.3,0.22,"0","21",0.50,0.4,11,-,0
02066,243,＜いも類＞ じゃがいも 塊茎 皮なし 電子レンジ調理,329,78,78.0,1.5,"1.9",Tr,"0",0.1,17.4,15.9,"15.5","3.5",0,19.0,0.5,1.0,1,430,4,20,47,0.4,0.3,0.10,0.40,1,0,Tr,3,0,0,2,0,2,0,"0",Tr,0,0,0,1,0.09,"0.03","1.4",1.7,0.20,"0","17",0.47,0.4,23,-,0
02067,244,＜いも類＞ じゃがいも 塊茎 皮なし フライドポテト （生を揚げたもの）,668,159,64.2,2.1,"2.7",5.5,"1",5.9,25.1,23.0,"22.6","3.9",0,26.2,0.6,1.0,1,570,5,29,78,0.5,0.4,0.14,0.48,1,0,Tr,4,0,1,13,1,14,1,"0",1.2,0,2.3,0.1,11,0.10,"0.02","2.2",2.6,0.24,"0","24",0.50,0.7,16,-,0
02020,245,＜いも類＞ じゃがいも 塊茎 皮なし フライドポテト （市販冷凍食品を揚げたもの）,958,229,52.9,2.3,"2.9",10.3,"Tr",10.6,27.5,25.0,"30.2","3.1",-,32.4,-,1.2,2,660,4,35,48,0.8,0.4,0.15,0.19,-,-,-,-,0,-,-,-,Tr,0,"0",1.5,0.1,5.9,1.1,18,0.12,"0.06","1.5",2.1,0.35,"0","35",0.71,-,40,-,0
02021,246,＜いも類＞ じゃがいも 乾燥マッシュポテト,1470,347,7.5,5.3,"6.6",0.5,"0",0.6,73.5,67.1,"76.1","6.6",0,82.8,1.5,2.5,75,1200,24,71,150,3.1,0.9,0.35,0.51,-,-,-,-,0,-,-,-,0,0,"0",0.2,Tr,Tr,Tr,0,0.25,"0.05","2.0",3.4,1.01,"0","100",0.47,-,5,-,0.2
02054,247,＜いも類＞ ヤーコン 塊根 生,221,52,86.3,-,"0.6",-,"0",0.3,0.5,0.5,"11.3","1.1",-,12.4,-,0.4,0,240,11,8,31,0.2,0.1,0.07,0.07,-,-,-,-,0,0,22,0,22,2,"0",0.2,0,0,0,0,0.04,"0.01","1.0",1.1,0.08,"0","25",0.02,-,3,-,0
02055,248,＜いも類＞ ヤーコン 塊根 水煮,177,42,88.8,-,"0.6",-,"0",0.3,-,-,"8.7","1.2",-,9.9,-,0.4,0,190,11,7,26,0.2,0.1,0.06,0.07,-,-,-,-,0,Tr,27,1,27,2,"0",0.2,0,0,0,0,0.03,"0.01","0.7",0.8,0.06,"0","28",0.01,-,2,-,0
02022,249,＜いも類＞ （やまのいも類） ながいも いちょういも 塊根 生,458,108,71.1,3.1,"4.5",0.3,"0",0.5,23.6,21.5,"22.2","1.4",-,22.6,0.7,1.3,5,590,12,19,65,0.6,0.4,0.20,0.05,1,1,0,3,0,-,-,-,5,Tr,"0",0.3,0,0,0,0,0.15,"0.05","0.4",1.5,0.11,"0","13",0.85,2.6,7,-,0
02023,250,＜いも類＞ （やまのいも類） ながいも ながいも 塊根 生,273,64,82.6,1.5,"2.2",0.1,"0",0.3,14.1,12.9,"13.8","1.0",-,13.9,-,1.0,3,430,17,17,27,0.4,0.3,0.10,0.03,1,1,Tr,2,0,-,-,-,Tr,0,"0",0.2,0,0,0,0,0.10,"0.02","0.4",0.9,0.09,"0","8",0.61,2.2,6,-,0
